"assetId","stablePath","materialChannel","sourceResolution","importedResolution","compression","colorSpace","mipmaps","wrapMode","filterMode","anisotropy","alphaUsage","memoryEstimate","relatedMaterials","licenseOrSource","finalDecision"
"tc_soil_height","src/materialLibrary.js#drawSurface(soil,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","soil","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_sand_color","src/materialLibrary.js#drawSurface(sand,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","sand","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_sand_roughness","src/materialLibrary.js#drawSurface(sand,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","sand","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_sand_height","src/materialLibrary.js#drawSurface(sand,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","sand","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_wood_color","src/materialLibrary.js#drawSurface(wood,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","wood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_wood_roughness","src/materialLibrary.js#drawSurface(wood,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","wood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_wood_height","src/materialLibrary.js#drawSurface(wood,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","wood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_floorWood_color","src/materialLibrary.js#drawSurface(floorWood,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","floorWood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_floorWood_roughness","src/materialLibrary.js#drawSurface(floorWood,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","floorWood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_floorWood_height","src/materialLibrary.js#drawSurface(floorWood,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","floorWood","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_brick_color","src/materialLibrary.js#drawSurface(brick,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","brick","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_brick_roughness","src/materialLibrary.js#drawSurface(brick,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","brick","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_brick_height","src/materialLibrary.js#drawSurface(brick,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","brick","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_stone_color","src/materialLibrary.js#drawSurface(stone,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","stone","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_stone_roughness","src/materialLibrary.js#drawSurface(stone,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","stone","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_stone_height","src/materialLibrary.js#drawSurface(stone,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","stone","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_tech_color","src/materialLibrary.js#drawSurface(tech,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","tech","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_tech_roughness","src/materialLibrary.js#drawSurface(tech,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","tech","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_tech_height","src/materialLibrary.js#drawSurface(tech,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","341 KiB per uploaded repeat variant","tech","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_roof_color","src/materialLibrary.js#drawSurface(roof,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","roof","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_roof_roughness","src/materialLibrary.js#drawSurface(roof,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","roof","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_roof_height","src/materialLibrary.js#drawSurface(roof,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","8","none","341 KiB per uploaded repeat variant","roof","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plaster_color","src/materialLibrary.js#drawSurface(plaster,color)","color","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","341 KiB per uploaded repeat variant","plaster","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plaster_roughness","src/materialLibrary.js#drawSurface(plaster,roughness)","roughness","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","341 KiB per uploaded repeat variant","plaster","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plaster_height","src/materialLibrary.js#drawSurface(plaster,height)","bump","256x256","256x256","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","341 KiB per uploaded repeat variant","plaster","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_fabric_color","src/materialLibrary.js#drawSurface(fabric,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","fabric","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_fabric_roughness","src/materialLibrary.js#drawSurface(fabric,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","fabric","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_fabric_height","src/materialLibrary.js#drawSurface(fabric,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","fabric","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_ceramic_color","src/materialLibrary.js#drawSurface(ceramic,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","ceramic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_ceramic_roughness","src/materialLibrary.js#drawSurface(ceramic,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","ceramic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_ceramic_height","src/materialLibrary.js#drawSurface(ceramic,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","ceramic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_metal_color","src/materialLibrary.js#drawSurface(metal,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","metal","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_metal_roughness","src/materialLibrary.js#drawSurface(metal,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","metal","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_metal_height","src/materialLibrary.js#drawSurface(metal,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","metal","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plastic_color","src/materialLibrary.js#drawSurface(plastic,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","plastic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plastic_roughness","src/materialLibrary.js#drawSurface(plastic,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","plastic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_plastic_height","src/materialLibrary.js#drawSurface(plastic,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","plastic","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_bark_color","src/materialLibrary.js#drawSurface(bark,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","85 KiB per uploaded repeat variant","bark","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_bark_roughness","src/materialLibrary.js#drawSurface(bark,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","85 KiB per uploaded repeat variant","bark","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_bark_height","src/materialLibrary.js#drawSurface(bark,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","4","none","85 KiB per uploaded repeat variant","bark","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_foliage_color","src/materialLibrary.js#drawSurface(foliage,color)","color","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","sRGB","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","foliage","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_foliage_roughness","src/materialLibrary.js#drawSurface(foliage,roughness)","roughness","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","foliage","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"tc_foliage_height","src/materialLibrary.js#drawSurface(foliage,height)","bump","128x128","128x128","browser-managed GPU format (CanvasTexture RGBA8)","NoColorSpace/linear data","generated; LinearMipmapLinear minification","RepeatWrapping","trilinear minification; linear magnification","2","none","85 KiB per uploaded repeat variant","foliage","original deterministic project code; ISC project license","replaced/rebuilt in centralized task6 material library"
"runtime.house_nameplate","src/house.js#labelTexture","base color/UI in world","512x256","512x256","CanvasTexture RGBA8","sRGB","generated","ClampToEdge","trilinear/linear","4","none","683 KiB each including mipmaps","house nameplate","runtime original text","keep; configure consistently"
"runtime.business_sign","src/house.js#signTexture","base color/UI in world","512x160","512x160","CanvasTexture RGBA8","sRGB","generated","ClampToEdge","trilinear/linear","4","none","427 KiB each including mipmaps","business sign","runtime original text","keep; configure consistently"
"runtime.item_labels","src/items.js#label","base color/UI in world","64-160px","same","CanvasTexture RGBA8","sRGB","generated","ClampToEdge","trilinear/linear","2","none","<136 KiB each; cached by content","item labels","runtime original text","improved; keyed texture cache added"
"runtime.sun_sprite","src/city.js#_sky","emissive sprite","128x128","128x128","CanvasTexture RGBA8","sRGB","generated","ClampToEdge","trilinear/linear","1","radial alpha","85 KiB","sky sun sprite","runtime original gradient","keep; configured centrally"
