"assetId","source","displayPurpose","scenesOrPrefabs","dimensions","pivot","meshCount","polygonCount","uvStatus","materialSlots","textureDependencies","lodAvailability","colliderDependencies","animationDependencies","placementSockets","visibleDefects","proposedAction","finalAction","testStatus"
"house.kit.open","src/house.js#createHouse","House window/door kit: open","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","54","692","all mesh geometries have UV0","19","d007e615-cd4d-4611-ade7-c413d1c59423; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.kit.tech","src/house.js#createHouse","House window/door kit: tech","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","50","644","all mesh geometries have UV0","19","f938b564-43a8-4205-848d-251d2596c739; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.material.wood","src/house.js#createHouse","House material family: wood","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","5a78b333-2068-4c69-bf20-2a5b39fd1e43; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.material.brick","src/house.js#createHouse","House material family: brick","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","69","872","all mesh geometries have UV0","20","c7fc6342-2edf-4cd6-ba79-713013bbcd81; tc_brick_color_2.5x2; tc_brick_height_2.5x2; tc_brick_roughness_2.5x2; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.material.stone","src/house.js#createHouse","House material family: stone","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","61","752","all mesh geometries have UV0","16","77e3a248-f1d4-4f93-aa3e-fb86c4a3087a; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_stone_color_2.5x2; tc_stone_height_2.5x2; tc_stone_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.material.tech","src/house.js#createHouse","House material family: tech","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","62","764","all mesh geometries have UV0","17","cf2acf29-a3ec-4663-a735-8e126ca5dc40; tc_tech_color_2.5x2; tc_tech_height_2.5x2; tc_tech_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.detail.solar","src/house.js#createHouse","House signature detail: solar","city; builder preview; multiplayer visitors","5.875 × 4.716 × 6.772","local origin; contact plane Y=0","61","708","all mesh geometries have UV0","16","6f97b9f0-c133-4677-98e9-5abf1d6163e8; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.detail.antenna","src/house.js#createHouse","House signature detail: antenna","city; builder preview; multiplayer visitors","5.925 × 6.735 × 6.735","local origin; contact plane Y=0","66","836","all mesh geometries have UV0","20","6c72a904-8ce0-4749-911b-3bfdfe8a405c; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.detail.balcony","src/house.js#createHouse","House signature detail: balcony","city; builder preview; multiplayer visitors","5.925 × 7.216 × 6.735","local origin; contact plane Y=0","113","1302","all mesh geometries have UV0","19","33f1d984-1273-4dd0-8e1e-dba406e4f354; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"house.detail.token","src/house.js#createHouse","House signature detail: token","city; builder preview; multiplayer visitors","5.925 × 6.855 × 6.735","local origin; contact plane Y=0","65","832","all mesh geometries have UV0","20","a85350e0-9a8b-4261-ac14-04695b0ac6d9; tc_roof_color_2.5x2; tc_roof_height_2.5x2; tc_roof_roughness_2.5x2; tc_wood_color_2.5x2; tc_wood_height_2.5x2; tc_wood_roughness_2.5x2","not required at current gameplay size; camera culls with scene bounds","plot footprint and interaction use stable config, not mesh triangles","staged build order; smoke/spin/blink where configured","doorX; plot anchors; HouseDefinition generated separately","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.cafe","src/house.js#createCompanion","Little Café exterior business building","city; multiplayer visitors","4.3 × 3.755 × 5.27","local origin; contact plane Y=0","17","244","all mesh geometries have UV0","13","387cc5a0-1781-4a3c-9314-037e871fd9ad; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5; tc_wood_color_2x1.5; tc_wood_height_2x1.5; tc_wood_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.flower","src/house.js#createCompanion","Flower Shop exterior business building","city; multiplayer visitors","4.3 × 3.755 × 4.425","local origin; contact plane Y=0","24","588","all mesh geometries have UV0","13","b7e90792-5dfe-472d-b442-e82705f3632b; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5; tc_wood_color_2x1.5; tc_wood_height_2x1.5; tc_wood_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.bakery","src/house.js#createCompanion","Bakery exterior business building","city; multiplayer visitors","4.76 × 4.016 × 4.9","local origin; contact plane Y=0","18","348","all mesh geometries have UV0","15","e7f05d9a-c07d-415b-a7c8-8755a81e56da; tc_brick_color_2x1.5; tc_brick_height_2x1.5; tc_brick_roughness_2x1.5; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.workshop","src/house.js#createCompanion","Workshop exterior business building","city; multiplayer visitors","4.56 × 3.755 × 4.725","local origin; contact plane Y=0","16","236","all mesh geometries have UV0","12","1c3a5902-cc3a-4794-bc84-ef6b270f5739; tc_brick_color_2x1.5; tc_brick_height_2x1.5; tc_brick_roughness_2x1.5; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.library","src/house.js#createCompanion","Library exterior business building","city; multiplayer visitors","4.2 × 3.125 × 4.825","local origin; contact plane Y=0","16","204","all mesh geometries have UV0","11","5534ed27-cb9f-47a5-a716-994adb66fcb2; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5; tc_stone_color_2x1.5; tc_stone_height_2x1.5; tc_stone_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.gallery","src/house.js#createCompanion","Gallery exterior business building","city; multiplayer visitors","4.2 × 3.125 × 4.85","local origin; contact plane Y=0","16","202","all mesh geometries have UV0","10","0f5a72df-a4d2-4732-afb1-835b70f6714d; tc_roof_color_2x1.5; tc_roof_height_2x1.5; tc_roof_roughness_2x1.5; tc_stone_color_2x1.5; tc_stone_height_2x1.5; tc_stone_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.techstore","src/house.js#createCompanion","Tech Store exterior business building","city; multiplayer visitors","4.2 × 3.125 × 4.65","local origin; contact plane Y=0","15","160","all mesh geometries have UV0","11","ce7932fd-4ab4-4623-a267-cb0c5eff10bf; tc_tech_color_2x1.5; tc_tech_height_2x1.5; tc_tech_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"business.arcade","src/house.js#createCompanion","Game Arcade exterior business building","city; multiplayer visitors","4.2 × 3.125 × 4.6","local origin; contact plane Y=0","17","184","all mesh geometries have UV0","11","8bc73c54-89ce-4250-8e7f-0bb53a9555a3; tc_tech_color_2x1.5; tc_tech_height_2x1.5; tc_tech_roughness_2x1.5","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","build order; sign/window day-night response; optional smoke","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.rug","src/items.js#BUILDERS.rug","Rug","interior; item preview","3 × 0.07 × 3","local origin; contact plane Y=0","2","128","all mesh geometries have UV0","2","tc_fabric_color_2x2; tc_fabric_color_3x3; tc_fabric_height_2x2; tc_fabric_height_3x3; tc_fabric_roughness_2x2; tc_fabric_roughness_3x3","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-large","optional per-part spin/blink/flag metadata","floor-large","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.sofa","src/items.js#BUILDERS.sofa","Sofa","interior; item preview","2.25 × 1.1 × 0.905","local origin; contact plane Y=0","6","72","all mesh geometries have UV0","3","tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-large","optional per-part spin/blink/flag metadata","floor-large","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.table","src/items.js#BUILDERS.table","Coffee Table","interior; item preview","1.3 × 0.67 × 0.9","local origin; contact plane Y=0","5","60","all mesh geometries have UV0","2","tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.plant","src/items.js#BUILDERS.plant","House Plant","interior; item preview","0.838 × 1.255 × 0.766","local origin; contact plane Y=0","3","68","all mesh geometries have UV0","3","tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.lamp_floor","src/items.js#BUILDERS.lamp_floor","Floor Lamp","interior; item preview","0.8 × 1.85 × 0.8","local origin; contact plane Y=0","3","64","all mesh geometries have UV0","2","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.meme_poster","src/items.js#BUILDERS.meme_poster","Meme Poster","interior; item preview","1.2 × 1.2 × 0.07","local origin; contact plane Y=0","2","14","all mesh geometries have UV0","2","494b238e-4e9f-4ca6-99cd-059ecbfb4c8f; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.nft_frame","src/items.js#BUILDERS.nft_frame","NFT Frame","interior; item preview","1.2 × 1.2 × 0.11","local origin; contact plane Y=0","2","14","all mesh geometries have UV0","2","0580537b-a4db-4d23-a0c4-038d89335ab7; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.safe","src/items.js#BUILDERS.safe","Crypto Safe","interior; item preview","0.8 × 1 × 0.77","local origin; contact plane Y=0","3","64","all mesh geometries have UV0","2","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.hw_wallet","src/items.js#BUILDERS.hw_wallet","Hardware Wallet","interior; item preview","0.3 × 0.412 × 0.2","local origin; contact plane Y=0","3","26","all mesh geometries have UV0","3","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.terminal","src/items.js#BUILDERS.terminal","Chart Terminal","interior; item preview","1.4 × 1.432 × 0.7","local origin; contact plane Y=0","5","50","all mesh geometries have UV0","4","f04325f6-1797-4e40-b291-8152ab114de3; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.server_rack","src/items.js#BUILDERS.server_rack","Dev Is Cooking Rack","interior; item preview","0.9 × 2 × 0.765","local origin; contact plane Y=0","11","132","all mesh geometries have UV0","7","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall","optional per-part spin/blink/flag metadata","floor-tall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.holo_token","src/items.js#BUILDERS.holo_token","Holo Token","interior; item preview","0.72 × 0.99 × 0.72","local origin; contact plane Y=0","3","88","all mesh geometries have UV0","3","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.gm_clock","src/items.js#BUILDERS.gm_clock","GM Clock","interior; item preview","0.52 × 0.64 × 0.16","local origin; contact plane Y=0","4","110","all mesh geometries have UV0","4","ecd23afe-5a53-4b37-b4ff-98b23e8b2e28; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.gn_moon","src/items.js#BUILDERS.gn_moon","GN Moon Lamp","interior; item preview","0.429 × 0.84 × 0.429","local origin; contact plane Y=0","3","148","all mesh geometries have UV0","2","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface|floor-small","optional per-part spin/blink/flag metadata","surface|floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.diamond_hands","src/items.js#BUILDERS.diamond_hands","Diamond Hands Trophy","interior; item preview","0.6 × 0.57 × 0.41","local origin; contact plane Y=0","4","30","all mesh geometries have UV0","3","e5ab4682-b5a5-426e-9c47-0ddb2de05349; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
